AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
2B-25-M8,2B-Black O,,,2B-Black O,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M9,610,,,610,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M10,614,,,614,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-U1,1684,,,1684,U,,,,,,,,2B,,,,,,,,,,,,,
2C-22-F1,1829,,,1829,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F2,1830,,,1830,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F3,1860,,,1860,F,2C,,,2C,,,,,,,,,,,,,,,,,
2C-22-F4,1841,,,1841,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F5,1839,,,1839,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F6,1889,,,1889,F,2C,,,2C,,,,,,,,,,,,,,,,,
2C-22-F7,1890,,,1890,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F8,284,,,284,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F9,1894,,,1894,F,2C,,2C,,,,,,,,,,,,,,,,,,
2C-22-F10,427,,,427,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F11,1576,,,1576,F,2C,,,2C,,,,,,,,,,,,,,,,,
2C-22-F12,287,,,287,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F13,979,,,979,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F14,981,,,981,F,2C,,,,,,,,,,,,,,,,,,,,
2C-22-F15,986,,,986,F,2C,,,2C,2C,,,,,,,,,,,,,,,,
2C-22-M1,1859,,,1859,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M2,1831,,,1831,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M3,1842,,,1842,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M4,1840,,,1840,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M5,1888,,,1888,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M6,1892,,,1892,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M7,285,,,285,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M8,1870,,,1870,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M9,426,,,426,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M10,93,,,93,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M11,286,,,286,M,2C,,,,,,,,,,,,,,,,,,,,
2C-22-M12,978,,,,M,,,2C,,,,,,,,,,,,,,,,,,
2C-22-M13,980,,,,M,,,2C,,,,,,,,,,,,,,,,,,
2C-22-M14,925,957,1241,925 / 957 / 1241,M,,,2C,,,2C,,,,,,,,,,,,,,,
2C-22-M15,982,,,,M,,,2C,,,,,,,,,,,,,,,,,,
2C-22-M16,1000,,,,M,,,2C,,,,,,,,,,,,,,,,,,
2C-22-M17,985,,,,M,,,2C,,,,,,,,,,,,,,,,,,
2C-22-M18,956,,,956,M,,,2C,,,2C,,2C,,,,,,,,,,,,,
2C-22-M19,1891,,,1891,M,2C,,,,,,,,Mistakenly given a duplicate AnimID (2C-22-F7),,,,,,,,,,,,
2C-23-F1,532,,,532,F,,,,2C,2C,,,,,,,,,,,,,,,,
2C-23-F2,811,,,811,F,,,,2C,,,,,,,,,,,,,,,,,
2C-23-F3,535,,,535,F,,,,2C,,,,,,,,,,,,,,,,,
2C-23-F4,537,,,537,F,,,,2C,,,,,,,,,,,,,,,,,
2C-23-F5,538,,,538,F,,,,2C,,,,,,,,,,,,,,,,,
2C-23-F7,539,,,539,F,,,,2C,2C,2C,,,,,,,,,,,,,,,
